Date,Open,High,Low,Close,Adj Close,Volume
2018-09-12,350.675995,353.153992,341.770996,344.250000,340.182678,1268036
2018-09-14,347.003998,357.056000,342.781006,352.191010,348.029877,700079
2018-09-17,349.757996,358.708008,346.591003,351.042999,346.895386,277673
2018-09-18,348.839996,356.825989,342.138000,342.919006,338.867401,99507
2018-09-19,345.809998,349.023010,332.316010,339.384003,335.374176,637842
2018-09-21,337.640015,346.131989,327.634003,341.863007,337.823883,262152
2018-09-24,340.578003,342.643005,321.759003,328.184998,324.307465,526059
2018-09-25,330.480011,333.234009,315.838013,330.571991,326.666260,263428
2018-09-26,334.519012,335.023987,328.001007,331.306000,327.391602,114040
2018-09-27,331.398010,333.234009,324.787994,326.899994,323.037659,118200
2018-09-28,330.342010,330.388000,307.942993,310.513000,306.844269,288424
2018-10-01,312.119995,312.303009,295.549988,299.130005,295.595764,354339
2018-10-03,298.488007,300.186005,290.501007,292.520996,289.064850,7267539
2018-10-04,289.170013,291.372986,277.557007,284.579987,281.217651,328248
2018-10-05,283.890991,289.950012,263.924988,272.415985,269.197388,299109
2018-10-08,275.399994,277.235992,267.230011,271.131012,267.927582,154895
2018-10-09,271.177002,272.002991,263.695007,264.934998,261.804779,743064
2018-10-10,267.092010,279.026001,260.803986,271.407013,268.200317,2466847
2018-10-11,266.220001,270.397003,259.196991,262.777008,259.672272,8447131
2018-10-12,265.945007,268.468994,261.355011,266.725006,263.573639,13719710
2018-10-15,266.725006,269.341003,261.125000,267.505005,264.344421,144608
2018-10-16,267.138000,271.544006,266.036011,269.799988,266.612305,134617
2018-10-17,270.855988,273.334015,261.446014,264.476013,261.351227,196041
2018-10-19,264.200012,268.973999,261.584015,263.328003,260.216766,205883
2018-10-22,265.027008,268.056000,254.285995,262.548004,259.445984,282382
2018-10-23,259.794006,266.770996,259.794006,262.455994,259.355072,131059
2018-10-24,263.924988,301.791992,263.373993,290.776001,287.340485,565684
2018-10-25,282.192993,285.222992,269.019989,271.589996,268.381165,562721
2018-10-26,272.645996,280.862000,263.649994,273.838989,270.603577,484831
2018-10-29,278.153992,278.246002,266.220001,269.571014,266.386047,334626
2018-10-30,271.635986,278.704987,265.852997,267.917999,264.752533,232307
2018-10-31,268.194000,272.462006,256.213989,268.194000,265.025269,323826
2018-11-01,270.351013,273.151001,263.971008,268.790009,265.614227,241807
2018-11-02,272.645996,282.559998,269.433014,277.648987,274.368530,307834
2018-11-05,277.144012,280.403015,273.563995,277.695007,274.414032,137805
2018-11-06,278.980011,282.468994,278.153992,280.036011,279.033813,106675
2018-11-07,282.743988,283.570007,279.071991,280.862000,279.856842,19688
2018-11-09,266.220001,277.557007,266.220001,273.976990,272.996490,419598
2018-11-12,276.915009,281.229004,269.341003,271.131012,270.160706,195895
2018-11-13,275.308014,275.399994,266.540985,273.058990,272.081787,123216
2018-11-14,276.272003,285.911011,273.563995,276.546997,275.557281,346721
2018-11-15,274.481995,281.321014,273.334015,278.888000,277.889923,170922
2018-11-16,278.888000,309.273987,276.639008,306.244995,305.149017,2073927
2018-11-19,303.858002,310.971985,293.071014,309.089996,307.983826,626638
2018-11-20,305.510010,311.431000,301.654999,304.545990,303.456085,378026
2018-11-21,303.858002,311.294006,303.032013,304.545990,303.456085,259485
2018-11-22,304.545990,311.890015,295.136993,301.058014,299.980591,1150813
2018-11-26,301.287994,310.513000,301.287994,306.612000,305.514709,686279
2018-11-27,307.346008,308.264008,298.119995,301.562988,300.483765,272568
2018-11-28,305.694000,305.694000,285.864990,288.710999,287.677765,392935
2018-11-29,299.268005,299.268005,286.737000,290.868011,289.827057,257250
2018-11-30,292.842010,297.339996,285.131012,287.838989,286.808868,291954
2018-12-03,289.170013,296.421997,289.123993,294.035004,292.982727,255202
2018-12-04,292.842010,296.789001,285.222992,292.290985,291.244934,420433
2018-12-05,312.119995,312.119995,283.523987,286.691010,285.665009,568933
2018-12-06,284.579987,286.829010,277.235992,279.164001,278.164948,287449
2018-12-07,288.067993,288.067993,274.574005,278.980011,277.981598,245398
2018-12-10,274.481995,276.546997,266.220001,270.166992,269.200134,234424
2018-12-11,265.760986,269.753998,259.105011,266.312012,265.358948,420587
2018-12-12,270.809998,284.488007,268.239990,280.173004,279.170319,477189
2018-12-13,283.661987,287.058990,276.639008,277.878998,276.884521,367275
2018-12-14,279.071991,305.601990,279.071991,292.657990,291.610626,1302837
2018-12-17,293.760010,296.559998,287.334015,288.848999,287.815277,724915
2018-12-18,288.894989,293.760010,286.415985,291.144012,290.102081,470664
2018-12-19,295.411987,296.972992,291.924011,295.825012,294.766327,251487
2018-12-20,290.088013,294.862000,288.480988,290.226013,289.187347,286473
2018-12-21,293.667999,297.983002,280.494995,282.285004,281.274780,668724
2018-12-24,282.652008,287.792999,279.438995,283.661987,282.646820,340562
2018-12-26,285.451996,297.385986,278.153992,294.862000,293.806763,542723
2018-12-27,296.421997,299.406006,288.252014,290.408997,289.369690,595109
2018-12-28,290.592987,294.678009,288.572998,290.270996,289.232178,389834
2018-12-31,293.575989,294.678009,286.415985,287.242004,286.214020,197664
2019-01-01,290.821991,295.596008,287.838989,293.346985,292.297150,14607920
2019-01-02,290.088013,294.447998,283.845001,287.149994,286.122345,421911
2019-01-03,286.415985,289.583008,282.881989,287.471985,286.443176,348195
2019-01-04,287.334015,297.799011,287.334015,296.147003,295.087158,526316
2019-01-07,296.238007,300.737000,295.916992,297.845001,296.779083,456621
2019-01-08,298.717010,304.316986,296.697998,301.884003,300.803619,261818
2019-01-09,303.398987,312.119995,300.598999,307.667999,306.566925,398363
2019-01-10,307.713989,310.513000,305.326996,309.595001,308.487030,127623
2019-01-11,309.595001,311.063995,302.480988,306.657990,305.560516,292902
2019-01-14,306.657990,306.704010,291.877991,304.683990,303.593597,159482
2019-01-15,302.940002,311.018005,299.681000,309.963013,308.853729,282383
2019-01-16,309.825012,316.709991,304.087006,306.015015,304.919861,414792
2019-01-17,306.612000,310.376007,303.214996,305.050995,303.959290,184680
2019-01-18,304.270996,305.096985,280.082001,285.451996,284.430420,806522
2019-01-21,291.648010,291.648010,281.183014,284.993011,283.973083,397975
2019-01-22,287.058990,287.058990,277.235992,279.300995,278.301453,296578
2019-01-23,281.825989,282.285004,278.153992,279.118011,278.119110,189458
2019-01-24,279.300995,282.697998,270.626007,276.868988,275.878143,384349
2019-01-25,279.071991,285.957001,277.235992,281.872009,280.863251,327902
2019-01-28,283.570007,283.570007,270.764008,279.898010,278.896301,204559
2019-01-29,283.661987,284.304993,276.915009,281.917999,280.909088,150794
2019-01-30,284.488007,287.013000,275.399994,278.475006,277.478394,187480
2019-01-31,279.989990,285.084991,278.933990,281.963989,280.954895,270651
2019-02-01,280.862000,294.173004,280.218994,285.773010,284.750305,505913
2019-02-04,285.497986,285.544006,277.464996,281.459015,280.451721,190286
2019-02-05,271.269012,285.131012,269.248993,282.605988,281.594604,876852
2019-02-06,282.743988,284.488007,276.455994,283.019012,282.006134,285988
